source;target
Weston, Anne Warren,;Weston, Deborah,
Gibbons, J. S.;Weston, Caroline,
Weston, Anne Warren,;Weston, Deborah,
Healy, Joseph,;Garrison, William Lloyd,
Chapman, Maria Weston,;Weston, Deborah,
Weston, Deborah,;Weston, Anne Warren,
Quincy, Edmund,;Chapman, Maria Weston,
Chapman, Maria Weston,;None
Cobb, Moses.;Garrison, William Lloyd,
Crosfield, William.;Garrison, William Lloyd,
Weston, Anne Warren,;Weston, Deborah,
Quincy, Edmund,;Chapman, Maria Weston,
Henson, Josiah,;Eliot, Samuel Atkins,
May, Samuel,;Burleigh, Charles C.
Chapman, Maria Weston,;Weston, Deborah,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Chapman, Maria Weston,;Quincy, Edmund,
Weston, Anne Warren,;Weston, Deborah,
Weston, Deborah,;Weston, Anne Warren,
Gates, Lucy.;Chapman, Maria Weston,
Garrison, William Lloyd,;Wright, Henry Clarke,
Garrison, William Lloyd,;May, Samuel J.
Phillips, Louisa.;Chapman, Maria Weston,
Wright, Henry Clarke,;Garrison, William Lloyd,
Weston, Emma Forbes,;Weston, Deborah,
Gilbert, Olive.;Truth, Sojourner,
Weston, Anne Warren,;None
Weston, Caroline,;Weston, Deborah,
Weston, Anne Warren,;Weston, Deborah,
Garrison, William Lloyd,;Webb, Richard Davis,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Estlin, Mary Anne,;Chapman, Maria Weston,
Garrison, William Lloyd,;Benson, George William,
Weston, Lucia,;Weston, Deborah,
None;Chapman, Maria Weston,
Garrison, William Lloyd,;Benson, George William,
Haskell, A. L.;Chapman, Maria Weston,
Weston, Lucia,;Weston, Deborah,
Allen, Richard,;Chapman, Maria Weston,
Weston, Anne Warren,;Garrison, William Lloyd,
Weston, Anne Warren,;Weston, Caroline,
Mott, Lucretia,;Chapman, Maria Weston,
Garrison, William Lloyd,;Child, David Lee,
Child,;Chapman, Maria Weston,
Johnson, Oliver,;Chapman, Maria Weston,
Weston, Deborah,;Weston, Mary,
Price, Abby H.;May, Samuel,
White, William Abijah,;Chapman, Maria Weston,
Robbins, L. M.;Weston, Anne Warren,
Brown, John Thompson,;None
Garrison, William Lloyd,;Wright, Henry Clarke,
Chapman, Henry Grafton,;Weston, Deborah,
Weston, Anne Warren,;Weston, Deborah,
Chapman, Maria Weston,;Nichol, Elizabeth Pease,
Weston, Deborah,;Weston, Mary,
Garrison, William Lloyd,;Benson, Henry Egbert,
Chapman, Maria Weston,;Ball, Martha V.,
M'Kim, J. Miller;Garrison, William Lloyd,
Humphrey, Heman,;Coffin, Joshua,
Phelps, Amos A.;Chapman, Maria Weston,
Garrison, William Lloyd,;Chapman, Henry Grafton,
Chapman, Mary Gray,;Garrison, William Lloyd,
Smith, George.;Clericus,
Quincy, Edmund,;Weston, Caroline,
Burns, A. M.;Garrison, William Lloyd,
Wigham, Eliza.;May, Samuel,
Chapman, Maria Weston,;Nichol, Elizabeth Pease,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Garrison, William Lloyd,;Norton, John Treadwell,
Garrison, William Lloyd,;Purvis, Robert,
Garrison, William Lloyd,;Jackson, Francis,
Weston, Anne Warren,;Weston, Deborah,
Garrison, William Lloyd,;Benson, Mary,
Garrison, William Lloyd,;None
None;Garrison, William Lloyd,
Weston, Anne Warren,;Weston, Mary,
Clarke, James Freeman,;Chapman, Maria Weston,
Chace, Elizabeth Buffum,;Chapman, Maria Weston,
Weston, Deborah,;Weston, Caroline,
Jackson, Francis,;May, Samuel,
Garrison, William Lloyd,;Garrison, Wendell Phillips,
Battles, A.;Garrison, William Lloyd,
Potter, William J.;Garrison, William Lloyd,
Weston, Caroline,;Weston, Deborah,
Garrison, William Lloyd,;Benson, Henry Egbert,
Randolph, Thomas Jefferson,;None
Garrison, William Lloyd,;Nichol, Elizabeth Pease,
Weston, Mary,;Weston, Deborah,
Weston, Caroline,;Weston, Deborah,
May, Samuel,;Burleigh, Charles C.
Garrison, William Lloyd,;Farmer, John,
Weston, Anne Warren,;Weston, Deborah,
Farnsworth, Amos,;Weston, Anne Warren,
Weston, Anne Warren,;Weston, Deborah,
Coates, Edwin H.;Chapman, Maria Weston,
Garrison, William Lloyd,;May, Samuel J.
Cummins, Jos.;Chapman, Maria Weston,
Garrison, William Lloyd,;Benson, George William,
Knight, Anne.;Chapman, Maria Weston,
Garrison, William Lloyd,;Benson, Henry Egbert,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Smith, Gerrit,;None
Garrison, William Lloyd,;Garrison, Helen Eliza,
Garrison, William Lloyd,;May, Samuel J.
None;None
Child,;Child,
Stuart, Charles,;Dennison, C.W.,
Weston, Anne Warren,;Weston, Deborah,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Garrison, William Lloyd,;Buffum, James Needham,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Benson, George William,;Benson, Henry Egbert,
None;None
Weston, Anne Warren,;Weston, Deborah,
Foster, Abby Kelley,;Weston, Anne Warren,
Garrison, William Lloyd,;May, Samuel J.
Garrison, William Lloyd,;Garrison, Helen Eliza,
Garrison, William Lloyd,;Nichol, Elizabeth Pease,
Weston, Emma Forbes,;Weston, Lucia,
Weston, Anne Warren,;Chapman, Maria Weston,
Cleveland, Charles D.;Garrison, William Lloyd,
Chapman, Maria Weston,;Nichol, Elizabeth Pease,
Garrison, William Lloyd,;Benson, George,
Garrison, William Lloyd,;Nichol, Elizabeth Pease,
Weston, Anne Warren,;Weston, Deborah,
Chapman, Maria Weston,;Benson, George William,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Collins, John A.;Weston, Caroline,
Chapman, Maria Weston,;Weston, Deborah,
Garrison, William Lloyd,;Ricketson, Joseph,
Brown, John,;None
Barker, Thomas H.;Garrison, William Lloyd,
Garrison, William Lloyd,;Benson, Henry Egbert,
Weston, Deborah,;Weston, Emma Forbes,
Grimké, Sarah Moore,;Weston, Anne Warren,
Cutler, John B.,;Garrison, William Lloyd,
Weston, Deborah,;Weston, Anne Warren,
Weston, Anne Warren,;Weston, Deborah,
Garrison, William Lloyd,;Benson, George William,
Chapman, Maria Weston,;May, Samuel,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Weston, Deborah,;Weston, R. Warren,
Gibbons, J. S.;Garrison, William Lloyd,
Sewall, Samuel E.;Garrison, William Lloyd,
Weston, Caroline,;Weston, Deborah,
Weston, Caroline,;None
Weston, Anne Warren,;Weston, Caroline,
Saxon, A.;Garrison, William Lloyd,
Weston, Caroline,;Weston, Deborah,
Weston, Caroline,;Weston, Deborah,
May, Samuel,;Webb, Richard Davis,
Garrison, William Lloyd,;Benson, George William,
Weston, Lucia,;Weston, Deborah,
Weston, Anne Warren,;Garrison, William Lloyd,
Johnson, Oliver,;Chapman, Maria Weston,
Child,;Chapman, Maria Weston,
Garrison, William Lloyd,;May, Samuel,
Johnson, Oliver,;Garrison, William Lloyd,
None;None
Garrison, William Lloyd,;May, Samuel,
Woods, Joseph.;None
Pringle, Edward J.;None
May, Samuel,;None
Coates, Edwin H.;Chapman, Maria Weston,
Garrison, William Lloyd,;Benson, Henry Egbert,
Garrison, William Lloyd,;None
Garrison, William Lloyd,;Benson, Henry Egbert,
Garrison, William Lloyd,;Jackson, Francis,
Garrison, William Lloyd,;Benson, Sarah Thurber,
Chapman, Maria Weston,;Nichol, Elizabeth Pease,
Weston, Deborah,;Weston, Mary,
Garrison, William Lloyd,;Benson, George William,
Chapman, Maria Weston,;Estlin, Mary Anne,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Weston, Caroline,;Weston, Deborah,
Weston, Deborah,;Weston, Caroline,
Garrison, William Lloyd,;Benson, George William,
Weston, Anne Warren,;Weston, Caroline,
Garrison, William Lloyd,;Johnson, Oliver,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Knibb, William,;Borthwick, P.
Griffin, William P.;Chapman, Maria Weston,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Garrison, William Lloyd,;Chapman, Henry Grafton,
Garrison, William Lloyd,;May, Samuel,
Weston, Caroline,;Weston, Deborah,
Brodnax, William H.;None
Weston, Anne Warren,;Weston, Caroline,
Weston, Anne Warren,;Weston, Mary,
Quincy, Edmund,;Chapman, Maria Weston,
Garrison, William Lloyd,;Jackson, Phoebe,
Wright, Henry Clarke,;Garrison, William Lloyd,
Hildreth, Richard,;Weston, Caroline,
Garrison, William Lloyd,;Benson, George William,
Smith, Increase S.;Weston, Caroline,
Chapman, Maria Weston,;Weston, Caroline,
Weston, Anne Warren,;Nichol, Elizabeth Pease,
Birney, James Gillespie,;Garrison, William Lloyd,
Garrison, William Lloyd,;Chapman, Henry Grafton,
Garrison, William Lloyd,;May, Samuel,
Weston, Caroline,;Weston, Deborah,
Garrison, William Lloyd,;Benson, Henry Egbert,
Garrison, William Lloyd,;Stacy, George W.
Weston, Anne Warren,;Weston, Lucia,
Garrison, William Lloyd,;Benson, George William,
Douglass, Frederick,;Garrison, William Lloyd,
None;None
Quincy, Edmund,;Chapman, Maria Weston,
None;Tappan, Lewis,
Quincy, Edmund,;Chapman, Maria Weston,
Estlin, J. B.;Chapman, Maria Weston,
M'Calmont, William.;None
Weston, Deborah,;Weston, Anne Warren,
Collins, John A.;May, Samuel,
Phillips, Louisa.;Chapman, Maria Weston,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Garrison, William Lloyd,;May, Samuel,
Garrison, William Lloyd,;Benson, George William,
Garrison, William Lloyd,;May, Samuel J.
Weston, Anne Warren,;Weston, Deborah,
Garrison, William Lloyd,;None
Garrison, William Lloyd,;Purvis, Robert,
Garrison, William Lloyd,;Nichol, Elizabeth Pease,
Garrison, William Lloyd,;Benson, Anna Elizabeth.,
De Charms, Richard,;Swedenborg, Emanuel,
Weston, Deborah,;Weston, Lucia,
Estlin, Mary Anne,;Weston, Anne Warren,
Davis, Edward Morris,;Chapman, Maria Weston,
Garrison, William Lloyd,;Lundy, Benjamin,
Weston, Deborah,;Weston, Mary,
Archer, Armstrong.;None
Garrison, William Lloyd,;Estlin, J. B.
None;None
Chapman, Maria Weston,;None
Davis, Edward Morris,;Chapman, Maria Weston,
Welsh, Mary,;Chapman, Maria Weston,
Garrison, William Lloyd,;Benson, Henry Egbert,
Ashurst, W. H.;Garrison, William Lloyd,
Weston, Deborah,;Weston, Anne Warren,
Garrison, William Lloyd,;M'Kim, J. Miller
Weston, Anne Warren,;Weston, Deborah,
Johnson, Oliver,;Chapman, Maria Weston,
Weston, Caroline,;Weston, Deborah,
Follen, Eliza Lee Cabot,;Chapman, Maria Weston,
Antoine, Caesar Carpentier,;Garrison, William Lloyd,
Smith, Evelina A. S.;Weston, Caroline,
Cropper, James,;None
Weston, Anne Warren,;Weston, Deborah,
Garrison, William Lloyd,;Benson, George William,
Joy, Charlotte Austin.;Chapman, Maria Weston,
CLAY, Henry,;None
Weston, Caroline,;Weston, Anne Warren,
Weston, Anne Warren,;Weston, Lucia,
None;Story, Joseph,
Appomattox,;Leigh, Benjamin Watkins,
Garrison, William Lloyd,;Benson, Henry Egbert,
May, Samuel,;Carpenter, Mary,
Ashby, Jane.;Garrison, William Lloyd,
Bradley, James.;Child,
Stearns, Rachel W.;Chapman, Maria Weston,
Weston, Deborah,;Weston, Anne Warren,
Campbell, Benjamin M.;Garrison, William Lloyd,
None;None
Philbrick, Anna R.;Weston, Caroline,
Garrison, William Lloyd,;Phelps, Amos A.
Estlin, Mary Anne,;Garrison, William Lloyd,
Garrison, William Lloyd,;Loring, Louisa Gilman,
None;None
Garrison, William Lloyd,;Benson, George William,
Hall, Robert B.;Denison, Charles Wheeler,
Weston, Anne Warren,;Weston, Deborah,
None;Scottron, Samuel Raymond.
Smith, Evelina A. S.;Weston, Caroline,
Weston, Anne Warren,;Weston, Deborah,
Weston, Emma Forbes,;Weston, Lucia,
Twombly, Alexander S.;None
Smith, Increase S.;Weston, Caroline,
Weston, Emma Forbes,;Weston, Deborah,
Ricketson, Joseph.;Weston, Deborah,
Garrison, William Lloyd,;Garrison, William Lloyd,
Chace, Elizabeth Buffum,;Chapman, Maria Weston,
Marshall, Thomas,;None
Garrison, William Lloyd,;Wright, Henry Clarke,
Hesse, Augustus,;Weston, Deborah,
Weston, Anne Warren,;Weston, Deborah,
Osgood, Abby,;Weston, Deborah,
Powell, William P.,;Chapman, Maria Weston,
Ammidon, Sylvia Ann.;Weston, Deborah,
Child, Lydia Maria,;None
Johnson, Oliver,;Chapman, Maria Weston,
Sawyer, Leicester A.;None
Weston, Anne Warren,;Weston, Deborah,
Weston, Deborah,;Weston, Anne Warren,
Barney, Nathaniel.;Garrison, William Lloyd,
Garrison, William Lloyd,;Benson, George William,
Garrison, William Lloyd,;None
Weston, Caroline,;Weston, Deborah,
Weston, Anne Warren,;Chapman, Maria Weston,
Garrison, William Lloyd,;Capron, Effingham Lawrence,
None;Coffin, Joshua,
Quincy, Edmund,;Weston, Caroline,
Cowing, Lucretia Ann,;Weston, Deborah,
Quincy, Edmund,;Weston, Caroline,
None;Tappan, Lewis,
Garrison, William Lloyd,;Benson, Anna Elizabeth.,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Jennings, Jane.;Chapman, Maria Weston,
Weston, Caroline,;Weston, Deborah,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Arnold, Elizabeth Rotch,;Weston,
Garrison, William Lloyd,;Nichol, Elizabeth Pease,
Benson, Henry Egbert,;Garrison, William Lloyd,
Child,;Chapman, Maria Weston,
Garrison, William Lloyd,;Knapp, Isaac,
Benezet, Anthony,;Warburton, William,
Weston, Deborah,;Weston, Anne Warren,
Weston, Anne Warren,;Weston, Deborah,
Weston, Lucia,;Weston, Deborah,
Garrison, William Lloyd,;Davis, Edward Morris,
Green, William.;None
Weston, Deborah,;Weston, Anne Warren,
Chapman, Maria Weston,;Weston, Anne Warren,
Quincy, Edmund,;Weston, Caroline,
Chace, Elizabeth Buffum,;Chapman, Maria Weston,
Weston, Caroline,;Weston, Deborah,
Garrison, William Lloyd,;Benson, George William,
Weston, Anne Warren,;Weston, Deborah,
Ammidon, Sylvia Ann.;Weston, Deborah,
Welsh, Mary,;Chapman, Maria Weston,
Garrison, William Lloyd,;Benson, George William,
Smith, Increase S.;Weston, Caroline,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Weston, Caroline,;Weston, Deborah,
None;Coffin, Joshua,
Garrison, William Lloyd,;Johnson, Oliver,
Garrison, William Lloyd,;May, Samuel,
Carpenter, Mary,;Chapman, Maria Weston,
Chapman, Maria Weston,;Torrey, Charles T.
Weston, Deborah,;Weston, Lucia,
Channing, William Ellery,;Garrison, William Lloyd,
None;None
None;Philadelphos,
None;None
Child,;None
None;None
Child,;Garrison, William Lloyd,
Garrison, William Lloyd,;Parker, Theodore,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Garrison, William Lloyd,;Child, David Lee,
May, Samuel,;Garrison, William Lloyd,
Garrison, William Lloyd,;May, Samuel J.
Sturge, Esther.;Chapman, Maria Weston,
Osgood, Abby,;Weston, Deborah,
Garrison, William Lloyd,;Jackson, Francis,
Garrison, William Lloyd,;Benson, George William,
Crocker, Lucretia,;Garrison, William Lloyd,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Johnson, Oliver,;Garrison, William Lloyd,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Child,;Weston, Caroline,
Garrison, William Lloyd,;Benson, Henry Egbert,
Weston, Anne Warren,;Weston, Deborah,
Garrison, William Lloyd,;Jackson, Phoebe,
Norton, Charles Eliot,;Garrison, William Lloyd,
Chapman, Maria Weston,;Nichol, Elizabeth Pease,
None;Charlton, Dimmock,
Garrison, William Lloyd,;Chapman, Henry Grafton,
Garrison, William Lloyd,;Benson, George William,
Farnsworth, Amos,;Weston, Anne Warren,
Collins, John A.;Chapman, Maria Weston,
Quincy, Edmund,;Chapman, Maria Weston,
Weston, Caroline,;Weston, Deborah,
Garrison, William Lloyd,;Benson, George William,
Weston, Deborah,;None
Johnson, Oliver,;Weston, Caroline,
Foster, Abby Kelley,;Garrison, William Lloyd,
Chapman, Maria Weston,;M'Kim, J. Miller
Foster, Abby Kelley,;Garrison, William Lloyd,
Weston, Lucia,;Weston, Deborah,
Birney, James Gillespie,;Coffin, Joshua,
Garrison, William Lloyd,;Nichol, Elizabeth Pease,
Weston, Anne Warren,;Weston, Deborah,
Chapman, Maria Weston,;Child, David Lee,
Newman, Francis William,;Garrison, William Lloyd,
Garrison, William Lloyd,;Dole, Ebenezer,
Garrison, William Lloyd,;Wright, Henry Clarke,
Weston, Lucia,;Weston, Deborah,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Weston, Deborah,;Weston, Caroline,
Martineau, Harriet,;None
May, Samuel,;Burleigh, Charles C.
Chapman, Maria Weston,;Weston, Mary,
Weston, Anne Warren,;Weston, Mary,
Weston, Lucia,;Weston, Deborah,
Garrison, William Lloyd,;Benson, George William,
Garrison, William Lloyd,;Benson, Henry Egbert,
Child,;Crofut, Charlotte Phelps,
Ward, Jonathan,;None
None;None
Weston, Anne Warren,;Weston, Deborah,
Garrison, William Lloyd,;Pease, Joseph,
Johnson, Oliver,;Chapman, Maria Weston,
Garrison, William Lloyd,;May, Samuel,
Weston, Anne Warren,;Weston, Deborah,
Davis, Edward Morris,;Weston, Anne Warren,
Weston, R. Warren;Weston, Deborah,
Quincy, Edmund,;Chapman, Maria Weston,
Collins, John A.;Chapman, Maria Weston,
Weston, Caroline,;Weston, Mary,
Marshall, Thomas,;None
Garrison, William Lloyd,;Garrison, James Holley,
Estlin, Mary Anne,;Chapman, Maria Weston,
Chapman, Maria Weston,;Weston, Anne Warren,
Weston, Anne Warren,;Weston, Deborah,
Weston, Anne Warren,;Weston, Deborah,
Garrison, William Lloyd,;Garrison, Wendell Phillips,
Chapman, Maria Weston,;Weston, Caroline,
Weston, Anne Warren,;Weston, Deborah,
Wigham, Jane.;Garrison, William Lloyd,
Lewis, Edmonia.;Chapman, Maria Weston,
Drake, Frances H.;Weston, Anne Warren,
Morse, Sidney E.;None
Foster, Abby Kelley,;Garrison, William Lloyd,
Garrison, William Lloyd,;Garrison, Helen Eliza,
May, Samuel J.;Chapman, Maria Weston,
Chapman, Maria Weston,;May, Samuel,
Farnsworth, Amos,;Chapman, Maria Weston,
Chandler, John A.;None
Webb, Richard Davis,;Weston, Anne Warren,
Weston, Caroline,;Weston, Lucia,
Quincy, Edmund,;Chapman, Maria Weston,
Garrison, William Lloyd,;Collins, John A.
Weston, Deborah,;Weston, Mary,
Weston, Mary,;Weston, Deborah,
Chapman, Maria Weston,;None
Garrison, William Lloyd,;Garrison, Helen Eliza,
Michell, Emma.;Chapman, Maria Weston,
Weston, Caroline,;Weston, Deborah,
Weston, G. B.;Chapman, Maria Weston,
Buckley, John C.;Garrison, William Lloyd,
Garrison, William Lloyd,;Benson, George William,
Adam, William,;Chapman, Maria Weston,
Garrison, William Lloyd,;Garrison, Francis Jackson,
Smith, Evelina A. S.;Weston, Caroline,
Child,;Child,
Chapman, Maria Weston,;Chapman, Henry Grafton,
Garrison, William Lloyd,;Collins, John A.
Burnley, William H.;None
Chapman, Maria Weston,;Estlin, Mary Anne,
Arnold, Elizabeth Rotch,;Weston, Caroline,
Weston, Anne Warren,;Chapman, Maria Weston,
Thompson, George,;Weston, Anne Warren,
None;Coffin, Joshua,
Webb, Richard Davis,;Chapman, Maria Weston,
Garrison, William Lloyd,;Ross, Alexander Milton,
Weston, Anne Warren,;Weston, Deborah,
Weston, Anne Warren,;Fuller, Margaret,
Garrison, William Lloyd,;Garrison, Wendell Phillips,
Parkman, M. J.;Chapman, Maria Weston,
Garrison, William Lloyd,;Nichol, Elizabeth Pease,
Weston, Caroline,;Chapman, Maria Weston,
Weston, Caroline,;Weston, Anne Warren,
Weston, Anne Warren,;Weston, Deborah,
Garrison, William Lloyd,;Villard, Fanny Garrison,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Kenrick, John,;Coffin, Joshua,
Garrison, William Lloyd,;Weston, Anne Warren,
Thompson, George,;Weaks, I. E. P.,
Child,;Chapman, Maria Weston,
Garrison, William Lloyd,;Benson, Mary,
Weston, Deborah,;Weston, Caroline,
Green, William,;Garrison, William Lloyd,
None;Phillips, Wendell,
Roper, Moses.;Washington, I. H.,
Weston, Anne Warren,;None
May, Samuel,;Weston,
Ricketson, Joseph.;Weston, Caroline,
Collins, John A.;Chapman, Maria Weston,
Garrison, William Lloyd,;Weston, Anne Warren,
Smith, Evelina A. S.;Weston, Caroline,
Quincy, Edmund,;Chapman, Maria Weston,
Weston, Anne Warren,;Chapman, Maria Weston,
Garrison, William Lloyd,;Adams, F. G.
Garrison, William Lloyd,;Estlin, Mary Anne,
Garrison, William Lloyd,;Phelps, Amos A.
Weston, Anne Warren,;Weston, Deborah,
Garrison, William Lloyd,;Benson, Henry Egbert,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Edwards, Jonathan,;None
Child,;Child,
Garrison, William Lloyd,;Jackson, Francis,
Mott, Lucretia,;Chapman, Maria Weston,
Chapman, Mary Gray,;Weston, Deborah,
None;None
Norton, John Treadwell,;Garrison, William Lloyd,
Child,;Chapman, Maria Weston,
Garrison, William Lloyd,;Johnson, Oliver,
Collins, John A.;Garrison, William Lloyd,
None;None
Garrison, William Lloyd,;Benson, Sarah Thurber,
Loring, Louisa Gilman,;Chapman, Maria Weston,
Child,;Weston, Caroline,
Garrison, William Lloyd,;Blackwell, Henry Browne,
Weston, Caroline,;Weston, Deborah,
Chapman, Mary Gray,;Chapman, Maria Weston,
Garrison, William Lloyd,;Webb, Richard Davis,
Chapman, Henry Grafton,;Weston, Deborah,
Garrison, William Lloyd,;Webb, Richard Davis,
Chandler, Thomas,;Garrison, William Lloyd,
Weston, Deborah,;Weston, Mary,
Smith, Evelina A. S.;Weston, Caroline,
Garrison, William Lloyd,;M'Kim, J. Miller
Foster, George.;Garrison, William Lloyd,
Garrison, William Lloyd,;Benson, George William,
Garrison, William Lloyd,;Parker, Theodore,
None;Davis, George T.
Weston, Lucia,;Weston, Deborah,
Garrison, William Lloyd,;Garrison, Wendell Phillips,
Phelps, Amos A.;Chapman, Maria Weston,
Baird, Robert,;None
Garrison, William Lloyd,;May, Samuel,
Clarkson, Thomas,;None
Whitelegge, Rebecca.;Weston,
Weston, Caroline,;Weston, Deborah,
Grandy, Moses,;Thompson, George,
Weston, Caroline,;None
Garrison, William Lloyd,;Loring, Louisa Gilman,
Garrison, William Lloyd,;Nichol, Elizabeth Pease,
Chapman, Maria Weston,;Weston, Deborah,
Estlin, Mary Anne,;Weston,
Weston, Anne Warren,;Davis, Edward Morris,
Estlin, J. B.;Chapman, Maria Weston,
Quincy, Edmund,;Weston, Anne Warren,
Arnold, Isaac Newton,;Garrison, William Lloyd,
Weston, Deborah,;Weston, Anne Warren,
May, Abby W.;Weston,
Stebbins, Catharine A. F.;Chapman, Maria Weston,
Garrison, William Lloyd,;Benson, George William,
None;None
Garrison, William Lloyd,;Nichol, Elizabeth Pease,
Garrison, William Lloyd,;Benson, George William,
Weston, Lucia,;Weston, Deborah,
Weston, Anne Warren,;Weston, Deborah,
Sewall, Louisa M.;Chapman, Maria Weston,
Farnsworth, Amos,;Weston, Anne Warren,
Phillips, Wendell,;Garrison, William Lloyd,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Weston, Deborah,;Fifield, Noah,
Griffiths, Julia,;Stowe, Harriet Beecher,
May, Samuel,;Garrison, William Lloyd,
Garrison, William Lloyd,;Garrison, Wendell Phillips,
Garrison, William Lloyd,;May, Samuel,
Garrison, William Lloyd,;Purvis, Robert,
Garrison, William Lloyd,;Chapman, Maria Weston,
Garrison, William Lloyd,;Garrison, Wendell Phillips,
Johnson, Oliver,;Chapman, Maria Weston,
Farnsworth, Amos,;Weston, Anne Warren,
Garrison, William Lloyd,;Knapp, Isaac,
Weston, Emma Forbes,;Laugel, Elizabeth Bates Chapman,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Jones, Benjamin Smith,;Chapman, Maria Weston,
May, Samuel,;Webb, Richard Davis,
Weston, Anne Warren,;Weston, Deborah,
None;None
Chapman, Maria Weston,;Weston, Deborah,
Weston, Anne Warren,;Weston, Emma Forbes,
None;None
Grimké, Angelina Emily,;Weston, Anne Warren,
Garrison, William Lloyd,;May, Samuel J.
Child,;Weston, Caroline,
Weston, Deborah,;Chapman, Maria Weston,
Earle, Sarah Hussey,;Chapman, Maria Weston,
Garrison, William Lloyd,;Nichol, Elizabeth Pease,
Crosfield, Eliza W.;Garrison, William Lloyd,
May, Samuel,;Weston, Caroline,
Weston, Deborah,;Weston, Anne Warren,
Garrison, William Lloyd,;May, Samuel J.
Farnsworth, Amos,;Weston, Anne Warren,
Garrison, William Lloyd,;Nichol, Elizabeth Pease,
Garrison, William Lloyd,;Hinckley, Isabella Mack,
Garrison, William Lloyd,;Jackson, Francis,
Weston, Caroline,;Chapman, Maria Weston,
Garrison, William Lloyd,;Benson, George William,
Weston, Caroline,;Chapman, Maria Weston,
Garrison, William Lloyd,;Benson, George William,
Garrison, William Lloyd,;Benson, George William,
Chapman, Maria Weston,;Nichol, Elizabeth Pease,
Bramhall, Ann Rebecca.;Weston,
Chapman, Maria Weston,;Weston, Anne Warren,
Garrison, William Lloyd,;Benson, George William,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Browne, Lucinda B.;Chapman, Maria Weston,
Garrison, William Lloyd,;May, Samuel J.
Pillsbury, Parker,;Garrison, William Lloyd,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Garrison, William Lloyd,;Webb, Richard Davis,
Crandal, William L.;Garrison, William Lloyd,
Weston, Anne Warren,;Weston, Deborah,
Brown, Henry Box,;Stearns, Charles.
Garrison, William Lloyd,;Jackson, Francis,
Citizen.;Garrison, William Lloyd,
Joy, Charlotte Austin.;Chapman, Maria Weston,
Garrison, William Lloyd,;Benson, George William,
Garrison, William Lloyd,;Benson, George William,
Cox, Samuel H.;Douglass, Frederick,
Garrison, William Lloyd,;May, Samuel J.
Weston, Deborah,;Weston, Anne Warren,
Cawdrey, H.;Garrison, William Lloyd,
Whiteley, Henry.;None
Garrison, William Lloyd,;Clarkson, Catherine Buck,
Hill, Frank Harrison,;Garrison, William Lloyd,
Garrison, William Lloyd,;Chapman, Maria Weston,
Garrison, William Lloyd,;Potter, William J.
Kenny, Mary P.;Chapman, Maria Weston,
Osgood, Abby,;Weston, Deborah,
Garrison, William Lloyd,;Garrison, Francis Jackson,
Brown, John,;None
Garrison, William Lloyd,;May, Samuel J.
Ammidon, Sylvia Ann.;Weston, Deborah,
Chapman, Mary Gray,;Weston, Deborah,
Weston, Anne Warren,;Weston, Deborah,
Child,;Chapman, Maria Weston,
Chapman, Maria Weston,;Weston, Anne Warren,
Garrison, William Lloyd,;Garrison, Wendell Phillips,
Farnsworth, Amos,;Weston, Anne Warren,
Martineau, Harriet,;Garrison, William Lloyd,
Weston, Deborah,;Weston, Ann Bates,
Weston, R. Warren;Weston, Deborah,
Benedict, Seth Williston,;Nash, Daniel D.
Coates, Edwin H.;Chapman, Maria Weston,
Weston, Deborah,;Chapman, Maria Weston,
Garrison, William Lloyd,;Johnson, Oliver,
Crosfield, William.;Garrison, William Lloyd,
None;None
Weston, Anne Warren,;Weston, Deborah,
Garrison, William Lloyd,;May, Samuel,
Weston, Deborah,;Weston, Anne Warren,
Garrison, William Lloyd,;Garrison, Helen Eliza,
Chapman, Henry Grafton,;Weston, Deborah,
MacQueen, James,;Hunt, Benjamin P.
Farnsworth, Amos,;Weston, Anne Warren,
